"Date","6.0 Marshmallow","5.1 Lollipop","9.0 Pie","8.1 Oreo","7.0 Nougat","10.0","7.1 Nougat","4.4 KitKat","8.0 Oreo","11.0","5.0 Lollipop","4.2 Jelly Bean","2.0 Eclair","4.1 Jelly Bean","4.3 Jelly Bean","2.3 Gingerbread","4.0 Ice Cream Sandwich","Other"
2017-06,42.12,32.57,0,0,3.23,0,0.42,10.49,0,0,6.58,2.11,0,1.19,0.52,0.39,0.33,0.03
2017-07,43.47,31.64,0,0,3.92,0,0.6,9.88,0,0,6.3,1.95,0,1.07,0.51,0.34,0.29,0.03
2017-08,44.26,30.27,0,0,5.55,0,1.1,9.11,0,0,5.87,1.8,0,0.98,0.47,0.3,0.27,0.02
2017-09,40.92,30,0,0,8.88,0,1.68,8.94,0.04,0,5.68,1.82,0,0.97,0.46,0.31,0.28,0.02
2017-10,39.2,28.2,0,0,12.55,0,3.03,8.26,0.06,0,5.17,1.64,0,0.88,0.41,0.33,0.25,0.02
2017-11,37.22,26.69,0,0,14.63,0,4.96,8.04,0.07,0,4.92,1.58,0,0.85,0.4,0.36,0.25,0.02
2017-12,35.24,25.93,0,0.03,15.84,0,6.41,8.13,0.12,0,4.81,1.58,0,0.88,0.4,0.36,0.26,0.02
2018-01,33.48,25.3,0,0.06,16.75,0,7.7,7.96,0.6,0,4.69,1.58,0,0.87,0.4,0.33,0.26,0.03
2018-02,32.68,23.84,0,0.08,18.33,0,9.1,7.25,1.33,0,4.33,1.43,0,0.75,0.36,0.27,0.23,0.02
2018-03,30.82,22.94,0,0.12,18.49,0,10.24,6.75,1.74,0,4.02,1.33,2.03,0.69,0.33,0.27,0.22,0.02
2018-04,28.85,21.99,0,0.51,18.62,0,12.49,6.32,2.04,0,3.69,1.23,2.8,0.65,0.29,0.26,0.24,0.02
2018-05,27.59,20.58,0,1.24,19.14,0,14.55,5.84,2.58,0,3.39,1.13,2.65,0.59,0.26,0.23,0.21,0.01
2018-06,26.41,18.92,0,2.21,19.34,0,16.65,5.1,3.52,0,3.09,1,2.58,0.52,0.23,0.22,0.19,0.01
2018-07,25.3,17.98,0,4.36,19.16,0,17.35,4.44,4.15,0,2.85,0.85,2.57,0.43,0.21,0.17,0.16,0.01
2018-08,23.8,16.6,0,7.25,18.78,0,17.33,3.67,4.73,0,2.47,0.68,3.93,0.34,0.17,0.11,0.12,0.01
2018-09,23.48,16.37,0,11.08,18.13,0,16.31,3.47,5.9,0,2.43,0.64,1.33,0.32,0.17,0.09,0.11,0.17
2018-10,22.76,16.11,0,16.47,15.51,0,15.34,3.28,6.93,0,2.34,0.6,0,0.3,0.15,0.12,0.1,0.01
2018-11,21.39,15.62,0.35,20.55,13.89,0,14.84,2.99,6.88,0,2.15,0.61,0,0.32,0.14,0.15,0.09,0.01
2018-12,20.17,14.43,1.25,23.43,12.88,0,14.52,2.63,7.68,0,1.92,0.52,0,0.26,0.11,0.12,0.07,0.01
2019-01,19.36,14.09,2.31,24.95,12.15,0,13.95,2.41,7.93,0,1.81,0.48,0,0.25,0.1,0.13,0.06,0.01
2019-02,18.61,13.46,3.19,27.3,11,0,13.3,2.3,8.11,0,1.73,0.46,0,0.25,0.1,0.12,0.06,0.01
2019-03,17.9,12.63,4.41,29.17,10.56,0,12.05,2.28,8.42,0,1.66,0.43,0,0.23,0.1,0.1,0.05,0.01
2019-04,17.21,12.12,6.74,30.08,10.16,0,11.54,2.19,7.5,0,1.59,0.41,0,0.2,0.09,0.1,0.04,0.01
2019-05,16.26,11.4,10.62,30.4,9.73,0,11.33,2,6.05,0,1.44,0.36,0,0.17,0.08,0.09,0.04,0.01
2019-06,15.73,11.06,15.09,28.37,9.42,0,11.03,1.82,5.44,0,1.37,0.32,0,0.16,0.07,0.06,0.03,0.01
2019-07,15.04,10.63,19.49,26.65,9.01,0,10.68,1.64,5.02,0,1.29,0.28,0,0.14,0.07,0.05,0.03,0.01
2019-08,13.74,9.73,26.11,25.82,8.23,0.01,9.28,1.44,4.15,0,1.14,0.17,0,0.08,0.05,0.04,0.01,0.01
2019-09,13.13,9.28,29.83,24.97,7.82,0.05,8.65,1.2,3.74,0,1.04,0.12,0,0.06,0.04,0.03,0.01,0
2019-10,12.33,8.19,33.73,24.25,7.38,0.29,8.16,1.08,3.42,0,0.94,0.11,0,0.05,0.03,0.03,0.01,0
2019-11,11.46,7.68,37.74,22.83,6.75,0.67,7.61,0.96,3.23,0,0.87,0.1,0,0.05,0.03,0.02,0.01,0
2019-12,10.86,6.78,40.9,21.51,6.47,1.31,7.29,0.82,3.11,0,0.76,0.08,0,0.04,0.03,0.01,0.01,0
2020-01,10.07,6.12,43.21,20.1,6.12,3.03,6.77,0.77,2.91,0,0.73,0.08,0.01,0.04,0.02,0.01,0.01,0
2020-02,9.44,5.77,44.37,19.15,5.83,4.67,6.32,0.75,2.78,0,0.71,0.09,0.01,0.04,0.02,0.01,0.01,0
2020-03,8.99,6,43.04,18.63,5.68,7.28,6.04,0.79,2.64,0,0.67,0.12,0,0.06,0.03,0.01,0.02,0
2020-04,8.58,5.44,42.75,17.67,5.58,9.95,5.81,0.75,2.66,0,0.65,0.08,0,0.05,0.02,0,0.01,0
2020-05,8.45,5.34,42.39,17.69,5.5,10.74,5.82,0.71,2.59,0,0.64,0.06,0,0.04,0.02,0,0,0
2020-06,8.16,5.3,40.13,17.42,5.31,14.05,5.68,0.71,2.48,0,0.62,0.06,0,0.04,0.02,0,0,0
2020-07,7.71,5.05,37.72,17.58,5.02,17.71,5.46,0.67,2.4,0,0.56,0.05,0,0.03,0.02,0,0,0
2020-08,7.31,4.79,35.31,16.74,4.76,22.38,5.16,0.59,2.29,0.01,0.56,0.05,0,0.02,0.02,0,0,0
2020-09,6.88,4.55,31.26,15.9,4.45,28.75,4.88,0.5,2.18,0.03,0.54,0.04,0,0.02,0.01,0,0,0
2020-10,6.57,4.41,27.87,15.03,4.35,33.66,4.87,0.48,2.09,0.13,0.48,0.04,0,0.02,0.01,0,0,0
2020-11,6.07,4.6,24.89,12.93,4.16,38.93,4.96,0.49,2.12,0.34,0.45,0.04,0,0.02,0.01,0,0,0
2020-12,5.7,3.92,23.64,13.9,3.74,41.73,4.16,0.38,1.72,0.69,0.37,0.03,0,0.01,0.01,0,0,0
2021-01,5.43,3.69,22.69,13.65,3.51,43.27,3.96,0.36,1.63,1.41,0.34,0.03,0,0.01,0.01,0,0,0
2021-02,5.27,3.56,21.76,13.35,3.37,43.13,3.85,0.35,1.57,3.41,0.32,0.03,0,0.01,0.01,0,0,0
2021-03,5.22,3.58,20.8,13.37,3.29,41.51,3.8,0.36,1.54,6.17,0.32,0.03,0,0.01,0.01,0,0,0
2021-04,5.14,3.6,19.29,13.11,3.17,39.81,3.69,0.38,1.5,9.93,0.32,0.03,0,0.02,0.01,0,0,0
2021-05,4.88,3.42,18.36,12.77,2.99,38,3.48,0.37,1.45,13.91,0.31,0.03,0,0.02,0.01,0,0,0
2021-06,4.72,3.29,17.77,12.53,2.89,36.97,3.39,0.35,1.41,16.32,0.3,0.03,0,0.02,0.01,0,0,0
2021-07,4.44,3.05,17.17,12.13,2.69,36.16,3.25,0.31,1.33,19.15,0.27,0.03,0,0.01,0.01,0,0,0
2021-08,3.94,2.69,15.51,10.95,2.39,33.68,2.91,0.27,1.21,26.16,0.24,0.02,0,0.01,0.01,0,0,0.01
2021-09,3.71,2.53,15.12,10.75,2.25,30.83,2.78,0.25,1.17,30.33,0.22,0.02,0.01,0.01,0.01,0,0,0.01
2021-10,3.39,2.34,14.45,10.32,2.07,28.61,2.61,0.22,1.09,34.64,0.2,0.02,0.01,0.01,0.01,0,0,0.02
2012-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
