"Date","Samsung","Nokia","Unknown","Xiaomi","Micromax","Oppo","Lenovo","Mobicel","Motorola","Apple","Sony","BBK","HTC","Huawei","Realme","Vivo","Asus","Gionee","OnePlus","LG","Lava","Lyf","Spice","Google","Coolpad","Panasonic","LeEco","Reliance Digital","Tecno","Itel","RIM","Intex","Alcatel","Infinix","InFocus","Karbonn","Yu","Xolo","ZTE","Comio","Mobiistar","HP","Opp","Infinex","QMobile","Meizu","Other"
2012-07,27.65,55.52,9.51,0,1.38,0,0,0,0.08,0.77,2.46,0,0.67,0.09,0,0,0,0,0,1.37,0,0,0,0.02,0,0,0,0,0,0,0.26,0,0.07,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.05
2012-08,27.97,54.35,10,0,1.8,0,0,0,0.08,0.79,2.33,0,0.7,0.09,0,0,0,0,0,1.35,0,0,0,0.02,0,0,0,0,0,0,0.27,0,0.11,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.05
2012-09,28.45,53.65,10.26,0,1.9,0,0,0,0.08,0.8,2.17,0,0.7,0.09,0,0,0,0,0,1.3,0,0,0,0.03,0,0,0,0,0,0,0.29,0,0.13,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.05
2012-10,28.35,53.1,10.99,0,1.95,0,0,0,0.08,0.79,2.08,0,0.69,0.08,0,0,0,0,0,1.27,0,0,0,0.03,0,0,0,0,0,0,0.29,0,0.15,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.05
2012-11,27.87,52.84,11.92,0,2.03,0,0,0,0.07,0.8,1.92,0,0.7,0.08,0,0,0,0,0,1.18,0,0,0,0.03,0,0,0,0,0,0,0.28,0,0.16,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.04
2012-12,28,52.23,12.34,0,2.13,0,0,0,0.07,0.82,1.88,0,0.71,0.08,0,0,0,0,0,1.13,0,0,0,0.03,0,0,0,0,0,0,0.29,0,0.17,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04
2013-01,26.87,52.1,13.17,0,2.33,0,0,0,0.06,1.01,1.9,0,0.76,0.08,0,0,0,0,0,1.06,0,0,0,0.04,0,0,0,0,0,0,0.31,0,0.19,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04
2013-02,26.77,51,14.04,0,2.6,0,0.01,0,0.07,1.13,1.87,0,0.76,0.09,0,0,0,0,0,1.01,0,0,0,0.03,0,0,0,0,0,0,0.31,0,0.19,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04
2013-03,27.09,49.82,14.65,0,2.72,0,0.03,0,0.06,1.15,1.94,0,0.78,0.09,0,0,0,0,0,1,0,0,0,0.04,0,0,0,0,0,0,0.31,0,0.21,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04
2013-04,27.09,48.15,15.97,0,2.96,0,0.07,0,0.06,1.13,1.95,0,0.83,0.09,0,0,0,0,0,1,0,0,0,0.04,0,0,0,0,0,0,0.31,0,0.23,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04
2013-05,27.57,48.31,14.73,0,3.49,0,0.12,0,0.06,1.12,1.94,0,0.86,0.09,0,0,0,0,0,1,0,0,0,0.05,0,0,0,0,0,0,0.3,0,0.25,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.04
2013-06,27.15,47.63,15.56,0,3.84,0,0.19,0,0.05,1.06,1.84,0,0.86,0.09,0,0,0,0,0,0.97,0,0,0,0.06,0,0,0,0,0,0,0.3,0,0.28,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04
